,Unnamed: 0,numberofnotes,numberofchords,numberofmeasures,meandistancebetweenchords,meantimebetweenchords,key,timechanges,trillslength,avgtempo,32nd_and_shorter,16th,eighth,quarter,dotted quarter,half,dotted half,whole,CompositePiece,Competitior Name,Country of Origin,Age,Stage,Stage Simple,Composer,Piece,Ranking
0,5,8628.0,1879.0,694.0,12.312566560170394,0.4800452609158679,F# major,8.0,"[0, 0]",145.5479546927012,173.0,3773.0,788.0,134.0,107.0,0.0,40.0,0.0,Mily Balakirev Islamey,Andrey Gugnin.,Russia,29.0,Preliminary,Preliminary,Mily Balakirev,Islamey,1
2,9,3051.0,0.0,324.0,,,a minor,2.0,"[0, 0]",90.69659442724458,0.0,2170.0,806.0,55.0,1.0,5.0,4.0,0.0,Bach English Suite No.6 in D Minor BWV 811,Simone Pedroni,Italy,24.0,Preliminary,Preliminary,Bach,English Suite No.6 in D Minor BWV 811,1
3,12,3051.0,0.0,324.0,,,a minor,2.0,"[0, 0]",90.69659442724458,0.0,2170.0,806.0,55.0,1.0,5.0,4.0,0.0,Bach English Suite No.2 in A Minor BWV 807,JosE Feghali,Brazil,24.0,Preliminary Phase 1,Preliminary,Bach,English Suite No.2 in A Minor BWV 807,1
4,14,5289.0,743.0,1258.0,12.966307277628031,2.5390835579514826,b minor,2.0,"[0, 0]",0.0,52.0,4.0,2785.0,893.0,75.0,134.0,308.0,0.0,Chopin Scherzo No.1 in B Minor Op.20,JosE Feghali,Brazil,24.0,Preliminary Phase 1,Preliminary,Chopin,Scherzo No.1 in B Minor Op.20,1
5,15,1378.0,83.0,158.0,2.658536585365854,3.804878048780488,C major,2.0,"[0, 0]",101.13740458015268,0.0,1203.0,0.0,8.0,0.0,12.0,4.0,68.0,Chopin Etude in C Major Op.10 No.1,JosE Feghali,Brazil,24.0,Preliminary Phase 1,Preliminary,Chopin,Etude in C Major Op.10 No.1,1
6,16,4467.0,1118.0,440.0,17.826320501342884,0.3930207400775884,a minor,24.0,"[2, Fraction(4, 3)]",74.67163327366109,821.0,1317.0,397.0,96.0,6.0,24.0,0.0,0.0,Liszt Paganini Etude No.6 in A Minor,JosE Feghali,Brazil,24.0,Preliminary Phase 1,Preliminary,Liszt,Paganini Etude No.6 in A Minor,1
7,17,2182.0,168.0,336.0,11.233532934131736,2.6706586826347305,D major,3.0,"[9, 10.0]",0.0,70.0,1055.0,622.0,169.0,5.0,24.0,0.0,4.0,Mozart Sonata in D Major K.311,JosE Feghali,Brazil,24.0,Preliminary Phase 2,Preliminary,Mozart,Sonata in D Major K.311,1
8,18,6468.0,1061.0,528.0,9.994339623,1.4660377358490566,f minor,2.0,"[24, 63.0]",86.32453459294248,20.0,2170.0,1661.0,309.0,307.0,0.0,126.0,0.0,"Beethoven Sonata in F Minor Op.57 ""Appassionata""",JosE Feghali,Brazil,24.0,Preliminary Phase 2,Preliminary,Beethoven,"Sonata in F Minor Op.57 ""Appassionata""",1
9,19,6759.0,1705.0,672.0,16.357981220657276,0.767605634,A- major,18.0,"[0, 0]",150.6590084643289,34.0,162.0,819.0,970.0,40.0,213.0,13.0,16.0,Chopin Fantasy in F Minor Op.49,JosE Feghali,Brazil,24.0,Preliminary Phase 2,Preliminary,Chopin,Fantasy in F Minor Op.49,1
11,22,2541.0,144.0,318.0,4.020979020979021,1.814685314685318,B major,8.0,"[4, 2.75]",132.44210526315788,136.0,170.0,878.0,209.0,43.0,51.0,16.0,4.0,Chopin Nocturne in B Major Op.9 No.3,Alexander Kobrin,Russia,25.0,Preliminary Recital,Preliminary,Chopin,Nocturne in B Major Op.9 No.3,1
12,26,4289.0,887.0,292.0,13.67607223476298,0.4830699774266364,g# minor,2.0,"[5, 6.5]",0.0,825.0,1428.0,685.0,3.0,3.0,0.0,2.0,0.0,Liszt La Campanella,Nobuyuki Tsujii,Japan,20.0,Preliminary Recital,Preliminary,Liszt,La Campanella,1
13,27,251.0,66.0,22.0,9.584615384615384,0.4576923076923077,E- major,4.0,"[1, 1.5]",0.0,9.0,67.0,50.0,5.0,7.0,0.0,0.0,0.0,Beethoven Sonata in A-flat Major Op.110,Haochen Zhang,China,19.0,Preliminary Recital,Preliminary,Beethoven,Sonata in A-flat Major Op.110,1
14,36,1474.0,440.0,80.0,10.241457858769932,0.3638952164009111,b minor,2.0,"[0, 0]",59.78888888888889,28.0,652.0,0.0,46.0,0.0,51.0,0.0,4.0,Bach-Siloti Prelude in B Minor,Vadym Kholodenko,Ukraine,26.0,Preliminary Recital 2,Preliminary,Bach-Siloti,Prelude in B Minor,1
15,37,10868.0,1570.0,1574.0,9.492670490758444,1.3804971319311663,E- major,10.0,"[18, 7.5]",0.0,1372.0,2020.0,2565.0,1010.0,375.0,91.0,198.0,0.0,Beethoven Sonata in E Major Op.109,Vadym Kholodenko,Ukraine,26.0,Preliminary Recital 2,Preliminary,Beethoven,Sonata in E Major Op.109,1
16,40,1252.0,7.0,274.0,6.0,36.458333333333336,c minor,4.0,"[0, 0]",0.0,3.0,760.0,403.0,32.0,11.0,2.0,0.0,0.0,Bach Partita No.2 in C Minor BWV 826,Stanislav Ioudenitch,Uzbekistan,29.0,Preliminary Round,Preliminary,Bach,Partita No.2 in C Minor BWV 826,1
17,42,4960.0,1724.0,900.0,17.269297736506093,0.3105049332559489,b- minor,16.0,"[9, 6.0]",129.12382234185733,228.0,926.0,866.0,240.0,5.0,17.0,5.0,0.0,Liszt Hungarian Rhapsody No.6,Stanislav Ioudenitch,Uzbekistan,29.0,Preliminary Round,Preliminary,Liszt,Hungarian Rhapsody No.6,1
18,46,17500.0,4879.0,4608.0,16.137966379663798,0.3904409252425841,d minor,96.0,"[1, 2.0]",44.25536664600821,1407.0,2280.0,3654.0,763.0,55.0,138.0,18.0,9.0,Liszt Réminiscences de Don Juan,Olga Kern,Russia,26.0,Preliminary Round,Preliminary,Liszt,Réminiscences de Don Juan,1
19,49,2182.0,168.0,336.0,11.233532934131736,2.6706586826347305,D major,3.0,"[9, 10.0]",0.0,70.0,1055.0,622.0,169.0,5.0,24.0,0.0,4.0,Mozart Sonata No.9 in D Major K.311,Yunchan Lim,South Korea,18.0,Preliminary Round,Preliminary,Mozart,Sonata No.9 in D Major K.311,1
20,50,11556.0,2130.0,1209.0,11.205730389854391,0.4864010881477996,B- major,18.0,"[23, 18.75]",64.33512250451788,2195.0,1284.0,1790.0,381.0,84.0,139.0,8.0,3.0,"Chopin Variations on ""La ci darem la mano"" Op.2",Yunchan Lim,South Korea,18.0,Preliminary Round,Preliminary,Chopin,"Variations on ""La ci darem la mano"" Op.2",1
22,52,10144.0,2172.0,1510.0,16.80469829571626,1.041927683095348,d minor,2.0,"[0, 0]",207.97888276635763,24.0,450.0,2567.0,1996.0,209.0,307.0,140.0,0.0,Ravel La Valse,Yekwon Sunwoo,South Korea,28.0,Quarterfinal Recital,Quarterfinal,Ravel,La Valse,1
23,55,9110.0,1375.0,1250.0,9.692867540029113,0.9090368753032512,E- major,40.0,"[30, 31.375]",0.0,1844.0,2221.0,1527.0,344.0,138.0,143.0,2.0,0.0,"Beethoven Variations and Fugue in E-flat Major Op.35 (""Eroica"")",Yunchan Lim,South Korea,18.0,Quarterfinal Rond,Quarterfinal,Beethoven,"Variations and Fugue in E-flat Major Op.35 (""Eroica"")",1
24,56,242.0,0.0,30.0,,,A- major,2.0,"[0, 0]",110.0769230769231,1.0,0.0,191.0,39.0,2.0,3.0,6.0,0.0,Schumann Carnaval Op.9,JosE Feghali,Brazil,24.0,Recital Program,Recital Program,Schumann,Carnaval Op.9,1
25,63,1322.0,276.0,158.0,0.850909091,1.1333333333333333,C major,2.0,"[7, 11.0]",65.0,30.0,66.0,82.0,62.0,26.0,101.0,21.0,18.0,Mozart Piano Concerto No.21 in C Major K.467,Yekwon Sunwoo,South Korea,28.0,Semifinal Concerto,Semifinal,Mozart,Piano Concerto No.21 in C Major K.467,1
26,64,1322.0,276.0,158.0,0.850909091,1.1333333333333333,C major,2.0,"[7, 11.0]",65.0,30.0,66.0,82.0,62.0,26.0,101.0,21.0,18.0,Mozart Piano Concerto No.22 in E-flat Major K.482,Yunchan Lim,South Korea,18.0,Semifinal Concerto,Semifinal,Mozart,Piano Concerto No.22 in E-flat Major K.482,1
27,67,10868.0,1570.0,1574.0,9.492670490758444,1.3804971319311663,E- major,10.0,"[18, 7.5]",0.0,1372.0,2020.0,2565.0,1010.0,375.0,91.0,198.0,0.0,Beethoven Sonata in E Major Op.109,Jon Nakamatsu,United States,28.0,Semifinal Recital,Semifinal,Beethoven,Sonata in E Major Op.109,1
28,68,242.0,0.0,30.0,,,A- major,2.0,"[0, 0]",110.0769230769231,1.0,0.0,191.0,39.0,2.0,3.0,6.0,0.0,Schumann Carnaval Op.9,Jon Nakamatsu,United States,28.0,Semifinal Recital,Semifinal,Schumann,Carnaval Op.9,1
30,70,12148.0,3480.0,1328.0,15.027019258407588,0.4169301523426256,A major,16.0,"[8, 12.0]",0.0,1046.0,2627.0,2147.0,198.0,148.0,21.0,12.0,0.0,Liszt Spanish Rhapsody,Stanislav Ioudenitch,Uzbekistan,29.0,Semifinal Recital,Semifinal,Liszt,Spanish Rhapsody,1
31,71,719.0,182.0,108.0,7.9779005524861875,0.5828729281767956,f minor,2.0,"[0, 0]",0.0,33.0,91.0,310.0,60.0,4.0,2.0,0.0,0.0,Schubert Moments Musicaux D.780,Stanislav Ioudenitch,Uzbekistan,29.0,Semifinal Recital,Semifinal,Schubert,Moments Musicaux D.780,1
32,74,4251.0,864.0,268.0,9.44611819235226,0.6152954808806459,B- major,2.0,"[2, 1.0]",0.0,54.0,1023.0,618.0,185.0,44.0,72.0,1.0,3.0,Schubert Impromptu in F Minor Op.142 No.1,Olga Kern,Russia,26.0,Semifinal Recital,Semifinal,Schubert,Impromptu in F Minor Op.142 No.1,1
33,75,4251.0,864.0,268.0,9.44611819235226,0.6152954808806459,B- major,2.0,"[2, 1.0]",0.0,54.0,1023.0,618.0,185.0,44.0,72.0,1.0,3.0,Schubert Impromptu in B-flat Major Op.142 No.3,Olga Kern,Russia,26.0,Semifinal Recital,Semifinal,Schubert,Impromptu in B-flat Major Op.142 No.3,1
34,81,13440.0,3380.0,1491.0,16.129032258064516,0.4633397454868298,c# minor,39.0,"[7, 6.5]",169.26464997936048,1884.0,2015.0,2046.0,771.0,63.0,241.0,4.0,25.0,Schumann Symphonic Etudes Op.13,Alexander Kobrin,Russia,25.0,Semifinal Recital,Semifinal,Schumann,Symphonic Etudes Op.13,1
36,87,12148.0,3480.0,1328.0,15.027019258407588,0.4169301523426256,A major,16.0,"[8, 12.0]",0.0,1046.0,2627.0,2147.0,198.0,148.0,21.0,12.0,0.0,Liszt Spanish Rhapsody,Haochen Zhang,China,19.0,Semifinal Recital,Semifinal,Liszt,Spanish Rhapsody,1
38,90,10868.0,1570.0,1574.0,9.492670490758444,1.3804971319311663,E- major,10.0,"[18, 7.5]",0.0,1372.0,2020.0,2565.0,1010.0,375.0,91.0,198.0,0.0,Beethoven Sonata in E Major Op.109,Yekwon Sunwoo,South Korea,28.0,Semifinal Recital,Semifinal,Beethoven,Sonata in E Major Op.109,1
43,103,5280.0,1050.0,1048.0,15.587225929456626,1.363240784874486,g minor,12.0,"[2, 3.75]",0.0,30.0,28.0,1784.0,1184.0,33.0,163.0,167.0,13.0,Chopin Ballade No.1 in G Minor Op.23,Philippe Bianconi,France,25.0,Preliminary Phase 1,Preliminary,Chopin,Ballade No.1 in G Minor Op.23,2
45,107,7727.0,1046.0,938.0,9.446889952,1.5971291866028707,B- major,6.0,"[3, 5.5]",139.07531172069827,363.0,2075.0,2456.0,1059.0,34.0,168.0,12.0,10.0,Beethoven Sonata in B-flat Major Op.22,JosE Carlos Cocarelli,Brazil,30.0,Preliminary Phase 1,Preliminary,Beethoven,Sonata in B-flat Major Op.22,2
46,108,6394.0,1220.0,482.0,10.941755537325676,0.593934578,b- minor,2.0,"[7, 5.375]",46.75850545009423,43.0,1498.0,1336.0,153.0,80.0,0.0,26.0,0.0,Chopin Ballade No.4 in F Minor Op.52,JosE Carlos Cocarelli,Brazil,30.0,Preliminary Phase 1,Preliminary,Chopin,Ballade No.4 in F Minor Op.52,2
50,113,10240.0,2583.0,1812.0,15.51471727343145,0.5611928737412812,A major,18.0,"[6, 10.0]",0.0,738.0,1703.0,2585.0,340.0,81.0,7.0,0.0,0.0,Liszt Mephisto Waltz No.1,Philippe Bianconi,France,25.0,Preliminary Phase 2,Preliminary,Liszt,Mephisto Waltz No.1,2
51,114,2129.0,168.0,324.0,4.736526946107785,2.7215568862275448,D major,2.0,"[5, 2.5]",124.0,12.0,989.0,723.0,117.0,87.0,0.0,16.0,0.0,Mozart Sonata in D Major K.576,JosE Carlos Cocarelli,Brazil,30.0,Preliminary Phase 2,Preliminary,Mozart,Sonata in D Major K.576,2
52,118,1116.0,3.0,176.0,7.0,25.5,C# major,2.0,"[0, 0]",24.97142857142857,24.0,0.0,81.0,8.0,0.0,0.0,0.0,0.0,Schumann Fantasiestücke Op.12,Yeol Eum Son,South Korea,23.0,Preliminary Recital,Preliminary,Schumann,Fantasiestücke Op.12,2
53,119,12148.0,3480.0,1328.0,15.027019258407588,0.4169301523426256,A major,16.0,"[8, 12.0]",0.0,1046.0,2627.0,2147.0,198.0,148.0,21.0,12.0,0.0,Liszt Spanish Rhapsody,Yeol Eum Son,South Korea,23.0,Preliminary Recital,Preliminary,Liszt,Spanish Rhapsody,2
55,124,332.0,12.0,52.0,3.727272727272727,1.2727272727272727,G major,8.0,"[0, 0]",154.0,0.0,0.0,189.0,103.0,1.0,22.0,0.0,1.0,Bach French Suite No.5 in G Major BWV 816,Sean Chen,United States,24.0,Preliminary Recital 1,Preliminary,Bach,French Suite No.5 in G Major BWV 816,2
57,129,13440.0,3380.0,1491.0,16.129032258064516,0.4633397454868298,c# minor,39.0,"[7, 6.5]",169.26464997936048,1884.0,2015.0,2046.0,771.0,63.0,241.0,4.0,25.0,Schumann Symphonic Etudes Op.13,Beatrice Rana,Italy,20.0,Preliminary Recital 1,Preliminary,Schumann,Symphonic Etudes Op.13,2
58,132,5107.0,908.0,282.0,6.630650496141125,0.3514999081220138,g# minor,150.0,"[0, 0]",60.58154330091592,3111.0,73.0,278.0,91.0,31.0,11.0,18.0,8.0,Ravel Gaspard de la Nuit,Beatrice Rana,Italy,20.0,Preliminary Recital 2,Preliminary,Ravel,Gaspard de la Nuit,2
59,133,8545.0,1548.0,3480.0,8.067873303,0.9762726244343898,d minor,912.0,"[1, 0.5]",207.26741099578248,1210.0,540.0,2360.0,491.0,28.0,275.0,63.0,27.0,Bartók Out of Doors,Beatrice Rana,Italy,20.0,Preliminary Recital 2,Preliminary,Bartók,Out of Doors,2
60,137,6776.0,889.0,1028.0,8.434684684684685,1.7663288288288288,F major,6.0,"[30, 18.5]",0.0,330.0,2288.0,1943.0,725.0,200.0,45.0,43.0,0.0,Mozart Sonata in F Major K.332,Antonio Pompa-Baldi,Italy,26.0,Preliminary Round,Preliminary,Mozart,Sonata in F Major K.332,2
61,138,12022.0,3266.0,1390.0,14.90689127105666,0.7632465543644693,b- minor,8.0,"[0, 0]",72.62578419071518,78.0,148.0,2005.0,1876.0,43.0,275.0,74.0,90.0,Chopin Sonata No.2 in B-flat Minor Op.35,Antonio Pompa-Baldi,Italy,26.0,Preliminary Round,Preliminary,Chopin,Sonata No.2 in B-flat Minor Op.35,2
62,141,1116.0,3.0,176.0,7.0,25.5,C# major,2.0,"[0, 0]",24.97142857142857,24.0,0.0,81.0,8.0,0.0,0.0,0.0,0.0,Schumann Fantasiestücke Op.12,Maxim Philippov,Russia,29.0,Preliminary Round,Preliminary,Schumann,Fantasiestücke Op.12,2
63,145,17500.0,4879.0,4608.0,16.137966379663798,0.3904409252425841,d minor,96.0,"[1, 2.0]",44.25536664600821,1407.0,2280.0,3654.0,763.0,55.0,138.0,18.0,9.0,Liszt Réminiscences de Don Juan,Joyce Yang,South Korea,19.0,Preliminary Round,Preliminary,Liszt,Réminiscences de Don Juan,2
65,150,3899.0,1243.0,536.0,10.841384863123992,0.4388083735909823,b minor,120.0,"[0, 0]",137.7870485678705,136.0,257.0,1670.0,148.0,15.0,85.0,4.0,0.0,Bartok Sonata Sz. 80,Anna Geniushene,Russia,31.0,Quarterfinal,Quarterfinal,Bartok,Sonata Sz. 80,2
67,155,6394.0,1220.0,482.0,10.941755537325676,0.593934578,b- minor,2.0,"[7, 5.375]",46.75850545009423,43.0,1498.0,1336.0,153.0,80.0,0.0,26.0,0.0,Chopin Ballade No.4 in F Minor Op.52,Kenneth Broberg,United States,23.0,Quarterfinal Recital,Quarterfinal,Chopin,Ballade No.4 in F Minor Op.52,2
68,160,10144.0,2172.0,1510.0,16.80469829571626,1.041927683095348,d minor,2.0,"[0, 0]",207.97888276635763,24.0,450.0,2567.0,1996.0,209.0,307.0,140.0,0.0,Ravel La Valse,Yakov Kasman,Russia,30.0,Semifinal Recital,Semifinal,Ravel,La Valse,2
70,164,8208.0,1479.0,842.0,11.773342354533153,1.089309878213803,f# minor,8.0,"[1, 2.0]",157.0281765018607,193.0,1856.0,2616.0,631.0,182.0,211.0,149.0,80.0,Debussy Suite Bergamasque,Antonio Pompa-Baldi,Italy,26.0,Semifinal Recital,Semifinal,Debussy,Suite Bergamasque,2
71,173,1752.0,201.0,98.0,11.015,1.26,g# minor,6.0,"[0, 0]",138.13782542113324,14.0,1014.0,192.0,97.0,87.0,0.0,23.0,0.0,Rachmaninoff 13 Preludes Op.32,Maxim Philippov,Russia,29.0,Semifinal Recital,Semifinal,Rachmaninoff,13 Preludes Op.32,2
72,174,1321.0,233.0,216.0,7.741379310344827,1.3836206896551724,D major,2.0,"[0, 0]",146.71461716937355,125.0,152.0,597.0,46.0,146.0,0.0,8.0,0.0,Scarlatti Sonata in D Major K.492,Joyce Yang,South Korea,19.0,Semifinal Recital,Semifinal,Scarlatti,Sonata in D Major K.492,2
