numberofnotes,numberofchords,numberofmeasures,avgtempo,32nd_and_shorter,16th,eighth,quarter,dotted quarter,half,dotted half,whole,Competitior Name,Country of Origin,Age,Stage Simple,Composite.2,Ranking,Duration
2541,144,318,132.4421053,136,170,878,209,43,51,16,4,Alexander Kobrin,Russia,25,Preliminary,Chopin Nocturne in B Major Op.9 No.3,1,316
13440,3380,1491,169.26465,1884,2015,2046,771,63,241,4,25,Alexander Kobrin,Russia,25,Semifinal,Schumann Symphonic Etudes Op.13,1,1326
8628,1879,694,145.5479547,173,3773,788,134,107,0,40,0,Andrey Gugnin.,Russia,29,Preliminary,Mily Balakirev Islamey,1,489
3899,1243,536,137.7870486,136,257,1670,148,15,85,4,0,Anna Geniushene,Russia,31,Quarterfinal,Bartok Sonata Sz. 80,2,264
6776,889,1028,0,330,2288,1943,725,200,45,43,0,Antonio Pompa-Baldi,Italy,26,Preliminary,Mozart Sonata in F Major K.332,2,1468
12022,3266,1390,72.62578419,78,148,2005,1876,43,275,74,90,Antonio Pompa-Baldi,Italy,26,Preliminary,Chopin Sonata No.2 in B-flat Minor Op.35,2,1298
8208,1479,842,157.0281765,193,1856,2616,631,182,211,149,80,Antonio Pompa-Baldi,Italy,26,Semifinal,Debussy Suite Bergamasque,2,1016
10868,1570,1574,0,1372,2020,2565,1010,375,91,198,0,Aviram Reichert,Israel,25,Preliminary,Beethoven Sonata in E Major Op.109,3,1134
3208,1168,154,33.83841496,46,199,85,211,6,31,0,7,Aviram Reichert,Israel,25,Semifinal,Chopin Nocturne in C Minor Op.48 No.1,3,330
3418,1458,238,127.2529002,8,7,529,236,5,95,25,2,Aviram Reichert,Israel,25,Semifinal,Chopin Etude in B Minor Op.25 No.10,3,186
10868,1570,1574,0,1372,2020,2565,1010,375,91,198,0,Barry Douglas,United Kingdom,25,Preliminary,Beethoven Sonata in E-flat Major Op.7,3,171
951,32,116,70,384,312,128,14,1,3,0,0,Barry Douglas,United Kingdom,25,Preliminary,Mozart Sonata in C Major K.330,3,1003
5107,908,282,60.5815433,3111,73,278,91,31,11,18,8,Beatrice Rana,Italy,20,Preliminary,Ravel Gaspard de la Nuit,2,1227
8545,1548,3480,207.267411,1210,540,2360,491,28,275,63,27,Beatrice Rana,Italy,20,Preliminary,Bartók Out of Doors,2,767
1823,16,144,40,8,1358,343,86,3,0,0,0,Benedetto Lupo,Italy,25,Preliminary,Bach Toccata in E Minor BWV 914,3,176
6394,1220,482,46.75850545,43,1498,1336,153,80,0,26,0,Benedetto Lupo,Italy,25,Preliminary,Chopin Ballade No.4 in F Minor Op.52,3,680
2324,101,192,101.9369748,28,1846,61,112,0,28,8,25,Benedetto Lupo,Italy,25,Preliminary,Chopin Etude in F Major Op.10 No.8,3,122
6306,1618,456,81.55377897,227,1017,1476,4,79,0,2,0,Benedetto Lupo,Italy,25,Preliminary,Liszt Transcendental Etude No.8,3,271
17500,4879,4608,44.25536665,1407,2280,3654,763,55,138,18,9,Daniel Hsu,United States,19,Preliminary,Liszt Réminiscences de Don Juan,3,1128
1322,276,158,65,30,66,82,62,26,101,21,18,Daniel Hsu,United States,19,Semifinal,Mozart Piano Concerto No.21 in C Major K.467,3,292
988,225,124,50,0,11,252,183,10,35,5,0,Daniel Kharitonov,Russia,,Semifinal,Rachmaninoff Prelude in G-flat major Op.23 No.10,3,223
6765,1676,861,110.5080751,1365,1608,787,249,38,23,0,0,Daniel Kharitonov,Russia,,Semifinal,Liszt Hungarian Rhapsody No.12,3,540
8408,1095,936,0,139,3619,1554,754,59,209,0,23,DMYTRO CHONI,UKRAINE,28,Semifinal,Mozart Piano Concerto No.20 in D Minor K.466,3,898
12148,3480,1328,0,1046,2627,2147,198,148,21,12,0,Haochen Zhang,China,19,Semifinal,Liszt Spanish Rhapsody,1,733
7727,1046,938,139.0753117,363,2075,2456,1059,34,168,12,10,JosE Carlos Cocarelli,Brazil,30,Preliminary,Beethoven Sonata in B-flat Major Op.22,2,1259
2129,168,324,124,12,989,723,117,87,0,16,0,JosE Carlos Cocarelli,Brazil,30,Preliminary,Mozart Sonata in D Major K.576,2,232
5289,743,1258,0,52,4,2785,893,75,134,308,0,JosE Feghali,Brazil,24,Preliminary,Chopin Scherzo No.1 in B Minor Op.20,1,533
1378,83,158,101.1374046,0,1203,0,8,0,12,4,68,JosE Feghali,Brazil,24,Preliminary,Chopin Etude in C Major Op.10 No.1,1,106
4467,1118,440,74.67163327,821,1317,397,96,6,24,0,0,JosE Feghali,Brazil,24,Preliminary,Liszt Paganini Etude No.6 in A Minor,1,264
2182,168,336,0,70,1055,622,169,5,24,0,4,JosE Feghali,Brazil,24,Preliminary,Mozart Sonata in D Major K.311,1,252
6468,1061,528,86.32453459,20,2170,1661,309,307,0,126,0,JosE Feghali,Brazil,24,Preliminary,"Beethoven Sonata in F Minor Op.57 ""Appassionata""",1,560
6759,1705,672,150.6590085,34,162,819,970,40,213,13,16,JosE Feghali,Brazil,24,Preliminary,Chopin Fantasy in F Minor Op.49,1,559
1321,233,216,146.7146172,125,152,597,46,146,0,8,0,Joyce Yang,South Korea,19,Semifinal,Scarlatti Sonata in D Major K.492,2,251
167,15,48,57.10344828,24,18,75,6,18,0,0,0,Joyce Yang,South Korea,19,Semifinal,Scarlatti Sonata in D Minor K.141,2,193
10868,1570,1574,0,1372,2020,2565,1010,375,91,198,0,Joyce Yang,South Korea,19,Semifinal,Beethoven Sonata in E-flat Major Op.31 No.3,2,1316
4960,1724,900,129.1238223,228,926,866,240,5,17,5,0,Joyce Yang,South Korea,19,Semifinal,Liszt Hungarian Rhapsody No.6,2,385
16098,3577,1524,0,616,2547,3851,1320,202,394,118,64,Kenneth Broberg,United States,23,Semifinal,Liszt Sonata in B Minor,2,316
2253,244,166,99.01703163,0,1497,236,116,2,4,7,2,Lukas Geniusas,Russia/Lithuania,,Semifinal,Chopin Etude in C-sharp Minor Op.10 No.4,2,114
1637,225,170,64.16535433,2,5,208,25,3,13,0,0,Lukas Geniusas,Russia/Lithuania,,Semifinal,Chopin Etude in G-flat Major Op.10 No.5,2,95
1027,106,108,34.96705882,3,666,41,40,103,6,44,0,Lukas Geniusas,Russia/Lithuania,,Semifinal,Chopin Etude in E-flat Minor Op.10 No.6,2,184
1116,3,176,24.97142857,24,0,81,8,0,0,0,0,Maxim Philippov,Russia,29,Preliminary,Schumann Fantasiestücke Op.12,2,1456
1752,201,98,138.1378254,14,1014,192,97,87,0,23,0,Maxim Philippov,Russia,29,Semifinal,Rachmaninoff 13 Preludes Op.32,2,135
1465,0,142,120,15,1045,46,0,52,0,1,0,Melnikov Alexey,Russia,,Preliminary,Bach Prelude and Fugue in C-sharp Minor BWV 873,3,106
482,39,58,135,0,288,105,14,10,0,3,0,Melnikov Alexey,Russia,,Semifinal,Scriabin Prelude No.2 in A Minor,3,40
167,15,48,57.10344828,24,18,75,6,18,0,0,0,Moye Chen,China,33,Preliminary,Scarlatti Sonata in G Minor K.8,3,153
6663,1184,1152,0,1252,176,2783,252,119,159,0,0,Moye Chen,China,34,Preliminary,Grieg 'March of the Dwarfs' Op.54 No.3,3,195
4289,887,292,0,825,1428,685,3,3,0,2,0,Nobuyuki Tsujii,Japan,20,Preliminary,Liszt La Campanella,1,250
4251,864,268,0,54,1023,618,185,44,72,1,3,Olga Kern,Russia,26,Semifinal,Schubert Impromptu in F Minor Op.142 No.1,1,511
4251,864,268,0,54,1023,618,185,44,72,1,3,Olga Kern,Russia,26,Semifinal,Schubert Impromptu in B-flat Major Op.142 No.3,1,594
5280,1050,1048,0,30,28,1784,1184,33,163,167,13,Philippe Bianconi,France,25,Preliminary,Chopin Ballade No.1 in G Minor Op.23,2,535
10240,2583,1812,0,738,1703,2585,340,81,7,0,0,Philippe Bianconi,France,25,Preliminary,Liszt Mephisto Waltz No.1,2,579
2554,1058,126,99.62300319,1,918,396,57,2,11,0,2,Sa Chen,China,25,Preliminary,Chopin Etude in G-sharp Minor Op.25 No.6,3,120
242,0,30,110.0769231,1,0,191,39,2,3,6,0,Sa Chen,China,25,Semifinal,Schumann Carnaval Op.9,3,1740
4977,616,410,83.57677165,60,2144,634,394,41,122,1,14,Sa Chen,China,25,Semifinal,Chopin Sonata No.3 in B Minor Op.58,3,719
332,12,52,154,0,0,189,103,1,22,0,1,Sean Chen,United States,24,Preliminary,Bach French Suite No.5 in G Major BWV 816,2,638
7193,1795,1761,83.80725542,107,34,1181,1831,162,319,174,0,Sean Chen,United States,24,Semifinal,Ravel Valses nobles et sentimentales,2,806
3754,1240,296,47.77316736,0,6,288,571,22,76,30,15,Sergei Redkin,Russia,,Semifinal,Schubert-Liszt Erlkönig,3,257
1252,7,274,0,3,760,403,32,11,2,0,0,Stanislav Ioudenitch,Uzbekistan,29,Preliminary,Bach Partita No.2 in C Minor BWV 826,1,1456
719,182,108,0,33,91,310,60,4,2,0,0,Stanislav Ioudenitch,Uzbekistan,29,Semifinal,Schubert Moments Musicaux D.780,1,1555
1474,440,80,59.78888889,28,652,0,46,0,51,0,4,Vadym Kholodenko,Ukraine,26,Preliminary,Bach-Siloti Prelude in B Minor,1,162
10144,2172,1510,207.9788828,24,450,2567,1996,209,307,140,0,Yakov Kasman,Russia,30,Semifinal,Ravel La Valse,2,777
2899,474,116,126,1,1755,316,76,92,0,9,0,Yanfeng Bai,China,23,Semifinal,Scriabin Etude in C-sharp Minor Op.42 No.5,3,164
2182,168,336,0,70,1055,622,169,5,24,0,4,Yunchan Lim,South Korea,18,Preliminary,Mozart Sonata No.9 in D Major K.311,1,252
11556,2130,1209,64.3351225,2195,1284,1790,381,84,139,8,3,Yunchan Lim,South Korea,18,Preliminary,"Chopin Variations on ""La ci darem la mano"" Op.2",1,947
9110,1375,1250,0,1844,2221,1527,344,138,143,2,0,Yunchan Lim,South Korea,18,Quarterfinal,"Beethoven Variations and Fugue in E-flat Major Op.35 (""Eroica"")",1,1242
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
