Name,Country,Round1,Round2,Round3
"<p class=""member-card__name"">Sergei Davydchenko</p>","{'Country': <p class=""member-card__country"">Russia</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in B-flat minor, BWV 891, from The Well-Tempered Clavier, Book 2 | ~ Joseph Haydn ~ | Piano Sonata in D major, Hob.XVI:42 | ~ Andante con espressione / Vivace assai ~ | Pyotr Tchaikovsky | ~ Marche funèbre (No. 4) and Scherzo (No. 6) from Six Pieces on a Single Theme, Op. 21 ~ | Frédéric Chopin | ~ Étude in E minor, Op. 25 No. 5 ~ | Franz Liszt | ~ Étude dGYATexécution transcendante No. 5 Feux folletsSergei Rachmaninoff ~ | Etude-tableau in D major, Op. 39 No. 9']","[' ~ | Round 2 | ~ Pyotr Tchaikovsky ~ | Prelude (No. 1) and Fugue (No. 2) from Six Pieces on a Single Theme, Op. 21 | ~ Franz Liszt ~ | Piano Sonata in B minor | ~ Sergey Prokofiev ~ | Piano Sonata No. 8 in B-flat major, Op.84 | ~ Andante dolce/ Andante sognando / Vivace']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Sergei Prokofiev | ~ Piano Concerto No. 2 in G minor, Op. 16 ~ | Andantino DASH Allegretto / Scherzo. Vivace / Intermezzo. Allegro moderato / Finale. Allegro tempestoso']"
"<p class=""member-card__name"">Angel Stanislav Wang</p>","{'Country': <p class=""member-card__country"">USA</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in F major, BWV 880, from The Well-Tempered Clavier, Book 2 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 23 in F minor Appassionata, Op. 57 | ~ Allegro assai / Andante con moto / Allegro ma non troppo DASH Presto ~ | Pyotr Tchaikovsky | ~ Valse sentimentale, Op. 51 No. 6 ~ | Franz Liszt | ~ Étude dGYATexécution transcendante No. 2 in A minor ~ | Frédéric Chopin | ~ Étude in C-sharp minor, Op. 10 No. 4 ~ | Sergei Rachmaninoff | ~ Étude-tableau in D major, Op. 39 No. 9']","[' ~ | Round 2 | ~ Enrique Granados ~ | Quejas o la maja y el ruesenor, No. 4 from Goyescas | ~ Franz Liszt ~ | Piano Sonata in B minor | ~ Pyotr Tchaikovsky ~ | Dumka, Op. 59 | ~ Igor Stravinsky ~ | Three movements from Pétrouchka | ~ Danse russe / Chez Pétrouchka / La Semaine grasse']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Benjamin Britten | ~ Piano concerto in D major, Op. 13 ~ | Toccata. Allegro molto e con brio / Waltz. Allegretto / Impromptu. Andante lento / March. Allegro moderato sempre a la marcia']"
"<p class=""member-card__name"">Valentin Malinin</p>","{'Country': <p class=""member-card__country"">Russia</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in C major, BWV 870, from The Well-Tempered Clavier, Book 2 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 23 in F minor (“Appassionata”), Op. 57 | ~ Allegro assai / Andante con moto / Allegro ma non troppo DASH Presto ~ | Franz Liszt | ~ Étude No. 6 in A minor from Grandes études de Paganini ~ | Frédéric Chopin | ~ Étude in B minor, Op. 25 No. 10 ~ | Sergei Rachmaninoff | ~ Étude-tableau in F-sharp minor, Op. 39 No. 3 ~ | Pyotr Tchaikovsky | ~ Tendres reproches, Op. 72 No. 3 ~ | Scherzo à la russe, Op. 1 No. 1']","[' ~ | Round 2 | ~ Sergei Prokofiev ~ | Piano Sonata No. 6, Op. 82 | ~ Allegro moderato / Allegretto / Tempo di valzer, lentissimo / Vivace ~ | Pyotr Tchaikovsky | ~ Nocturne in F major, Oр. 10 No. 1 ~ | Impromptu in F minor, Op. 72 No. 1 | ~ Alexander Scriabin ~ | Three études, Op. 65 | ~ Allegro / Andante / Allegro moderato ~ | Valse in A-flat major, Op. 38 | ~ Piano Sonata No. 4 in F-sharp major, Op. 30 ~ | Andante / Prestissimo volando']","[' ~ | Round 3 | ~ Alexander Scriabin ~ | Piano Concerto in F-sharp minor, Op. 20 | ~ Allegro / Andante / Allegro moderato ~ | Pyotr Tchaikovsky | ~ Piano Concerto No. 1 in B-flat minor, Op. 23 ~ | Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco']"
"<p class=""member-card__name"">George Harliono</p>","{'Country': <p class=""member-card__country"">United Kingdom</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in C minor, BWV 847, from Well-Tempered Clavier, Part 1 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 18 in E-flat major, Op. 31 No. 3 | ~ Allegro / Scherzo. Allegretto vivace / Minuet. Moderato e grazioso / Presto con fuoco ~ | Pyotr Tchaikovsky | ~ Nocturne, Op. 19 No. 4 ~ | Frédéric Chopin | ~ Étude in F major, Op. 10 No. 8 ~ | Sergei Rachmaninoff | ~ Étude-tableau in A minor, Op. 39 No. 6 ~ | Franz Liszt | ~ Transcendental Étude No. 5 Harmonies du soir']","[' ~ | Round 2 | ~ Franz Schubert ~ | Fantasia in C major Wanderer, D 760 | ~ Pyotr Tchaikovsky ~ | Méditation from 18 Pieces, Op. 72 No. 5 | ~ Maurice Ravel ~ | Une Barque sur lGYATocéan from Miroirs | ~ Igor Stravinsky ~ | Three movements from Pétrouchka | ~ Danse russe / Chez Pétrouchka / La Semaine grasse']","[' ~ | Round 3 | ~ Sergei Rachmaninoff ~ | Piano Concerto No. 2 in C minor, Op. 18 | ~ Moderato / Adagio sostenuto / Allegro scherzando ~ | Pyotr Tchaikovsky | ~ Piano Concerto No. 1 in B-flat minor, Op. 23 ~ | Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco']"
"<p class=""member-card__name"">Stanislav Korchagin</p>","{'Country': <p class=""member-card__country"">Russia</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in A-flat major, BWV 886, from The Well-Tempered Clavier, Book 2 | ~ Joseph Haydn ~ | Piano Sonata in E-flat major, Hob. XVI:45 | ~ Moderato / Andante / Finale. Allegro di molto ~ | Sergei Rachmaninoff | ~ Étude-tableau in D minor, Op. 33 No. 4 ~ | Frédéric Chopin | ~ Étude in A-flat major Op. 10 No. 10 ~ | Franz Liszt | ~ Étude dGYATexécution transcendante No. 4 Mazeppa ~ | Pyotr Tchaikovsky DASH Mikhail Pletnev | ~ Five pieces from Concert Suite from The Sleeping Beauty ~ | Prologue / Dance of Pages / Vision / Fairy of Silver / Adagio']","[' ~ | Round 2 | ~ Sergey Prokofiev ~ | Piano Sonata No. 6 in A major, Op. 82 | ~ Allegro moderato / Allegretto / Tempo di valzer, lentissimo / Vivace ~ | Pyotr Tchaikovsky | ~ Chant élégiaque, Op. 72 No. 14 ~ | Johannes Brahms | ~ Variations on a Theme by Paganini, Op. 35, Book 2 ~ | Maurice Ravel | ~ La Valse (arranged for piano)']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Sergei Prokofiev | ~ Piano Concerto No. 2 in G minor, Op. 16 ~ | Andantino DASH Allegretto / Scherzo. Vivace / Intermezzo. Allegro moderato / Finale. Allegro tempestoso']"
"<p class=""member-card__name"">Ilya Papoyan</p>","{'Country': <p class=""member-card__country"">Russia</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in E minor, BWV 879, from The Well-Tempered Clavier, Book 2 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 30 in E major, Op. 109 | ~ Vivace ma non troppo, sempre legato DASH Adagio espressivo / Prestissimo / Gesangvoll, mit innigster Empfindung. Andante molto cantabile ed espressivo ~ | Frédéric Chopin | ~ Étude in A minor, Op. 25 No. 11 ~ | Sergei Rachmaninoff | ~ Étude-tableau in B minor, Op. 39 No. 4 ~ | Franz Liszt | ~ Étude No. 6 in A minor from Grandes études de Paganini ~ | Pyotr Tchaikovsky | ~ Theme and Variations, Op. 19 № 6']","[' ~ | Round 2 | ~ Robert Schumann ~ | Three Romances, Op. 28 | ~ Sehr markiert / Einfach / Sehr markiert ~ | Camille Saint-Saëns DASH Franz Liszt | ~ Danse macabre, Op. 40 (arrangement by Vladimir Horowitz) ~ | Pyotr Tchaikovsky | ~ Echo rustique (No. 13) and Chant élégiaque (No. 14) from 18 Pieces, Op. 72 ~ | Sergei Rachmaninoff | ~ Piano Sonata No. 2, Op. 36 (first version) ~ | Allegro agitato / Non allegro DASH Lento / LGYATistesso tempo DASH Allegro molto']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 2 in G major, Op. 44 (composerGYATs version) | ~ Allegro brillante e molto vivace / Andante non troppo / Allegro con fuoco ~ | Sergei Rachmaninoff | ~ Piano Concerto No. 3 in D minor, Op. 30 ~ | Allegro ma non tanto / Intermezzo. Adagio / Finale. Alla breve']"
"<p class=""member-card__name"">Suah Ye</p>","{'Country': <p class=""member-card__country"">South Korea</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in G minor, BWV 885, from Well-Tempered Clavier, Part 2 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 21 in C major, Op. 53 | ~ Allegro con brio / Introduzione. Adagio molto / Rondo. Allegretto moderato DASH Prestissimo ~ | Franz Liszt | ~ Étude No. 2 in F minor from 3 Études de Concert ~ | Sergei Rachmaninoff | ~ Étude-tableau in E-flat minor, Op. 33 No. 6 ~ | Frédéric Chopin | ~ Étude in A minor, Op. 25 No. 11 ~ | Pyotr Tchaikovsky DASH Mikhail Pletnev | ~ Andante Maestoso from The Nutcracker']","[' ~ | Round 2 | ~ Frédéric Chopin ~ | Andante Spianato and Grande Polonaise Brillante in E-flat major, Op. 22 | ~ Alexander Scriabin ~ | Piano Sonata No. 5 in F-sharp major, Op. 53 | ~ Pyotr Tchaikovsky ~ | Un poco di Chopin (No. 15) and Scène dansante. Invitation au trépak (No. 18) from 18 Pieces, Op. 72 | ~ Robert Schumann ~ | Études symphoniques, Op. 13']","[' ~ | Round 3 | ~ Sergei Rachmaninoff ~ | Piano concerto No. 3 in D minor, Op. 30 | ~ Allegro ma non tanto / Intermezzo. Adagio / Finale. Alla breve ~ | Pyotr Tchaikovsky | ~ Piano Concerto No. 1 in B-flat minor, Op. 23 ~ | Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco']"
"<p class=""member-card__name"">Xuanyi Mao</p>","{'Country': <p class=""member-card__country"">China</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in C-sharp minor, BWV 849, from Well-Tempered Clavier, Part 1 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 31 in A-flat major, Op. 110 | ~ Moderato cantabile molto espressivo / Allegro molto / Adagio ma non troppo DASH Arioso dolente DASH Fuga. Allegro ma non troppo ~ | Pyotr Tchaikovsky | ~ Dumka, Op. 59 ~ | Frédéric Chopin | ~ Étude in A minor, Op. 10 No. 2 ~ | Sergei Rachmaninoff | ~ Étude-tableau in E-flat minor, Op. 33 No. 6 ~ | Franz Liszt | ~ Transcendental Étude No. 10 in F minor']","[' ~ | Round 2 | ~ Carl Vine ~ | Piano Sonata No. 1 | ~ Half note = 48 / Leggiero e legato ~ | Alexander Scriabin | ~ Piano Sonata No. 2 in G-sharp minor (Sonata-Fantasy), Op. 19 ~ | Andante / Presto | ~ Pyotr Tchaikovsky ~ | Nocturne, Op. 19, No. 4 | ~ Wolfgang Amadeus Mozart ~ | 12 Variations in B-flat major, KV 500 | ~ Igor Stravinsky ~ | Three movements from Pétrouchka | ~ Danse russe / Chez Pétrouchka / La Semaine grasse']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Johannes Brahms | ~ Piano Concerto No. 2 in B-flat major, Op. 83 ~ | Allegro non troppo / Allegro appassionato / Andante / Allegretto grazioso']"
"<p class=""member-card__name"">Alessandro Villalva</p>","{'Country': <p class=""member-card__country"">Italy</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in B-flat major, BWV 866, from Well-Tempered Clavier, Part 1 | ~ Sergei Rachmaninoff ~ | Étude-tableau in D minor, Op. 33 No. 4 | ~ Franz Liszt ~ | Transcendental Étude No. 5 Feux follets | ~ Pyotr Tchaikovsky ~ | Four excerpts from The Seasons | ~ March (Song of the Lark) / August (The Harvest) / October (Autumn Song) / December (Christmas) ~ | Frédéric Chopin | ~ Étude in C-sharp minor, Op. 10 No. 4 ~ | Muzio Clementi | ~ Piano Sonata in B minor, Op. 40 No. 2']","[' ~ | Round 2 | ~ Wolfgang Amadeus Mozart ~ | Variations on a theme by Paisiello, KV 398 | ~ Johannes Brahms ~ | Fantasien, Op. 116 | ~ Capriccio in D minor / Intermezzo in A minor / Capriccio in G minor / Intermezzo in E major / Intermezzo in E minor / Intermezzo in E major / Capriccio in D minor ~ | Pyotr Tchaikovsky | ~ Impromptu, Op. 72 No. 1 ~ | Sergei Prokofiev | ~ Piano Sonata No. 7 in B-flat major, Op. 83 ~ | Allegro inquieto / Andante caloroso / Precipitato']","[' ~ | Round 3 | ~ Sergei Rachmaninoff ~ | Piano Concerto No. 2 in C minor, Op. 18 | ~ Moderato / Adagio sostenuto / Allegro scherzando ~ | Pyotr Tchaikovsky | ~ Piano Concerto No. 1 in B-flat minor, Op. 23 ~ | Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco']"
"<p class=""member-card__name"">Timofey Dolya</p>","{'Country': <p class=""member-card__country"">Russia</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in G minor, BWV 861, from The Well-Tempered Clavier, Book 1 | ~ Joseph Haydn ~ | Piano Sonata in F major, Hob.XVI:23 | ~ Allegro / Adagio / Finale. Presto ~ | Pyotr Tchaikovsky | ~ Romance, Op. 5 ~ | Nocturne in F major, Oр. 10 No. 1 | ~ Scène dansante. Invitation au trépak, Op. 72, No. 18 ~ | Frédéric Chopin | ~ Étude in B minor, Op. 25 No. 10 ~ | Franz Liszt | ~ Concert étude No. 3 in D-flat major Un sospiro ~ | Sergei Rachmaninoff | ~ Étude-tableau in D\xa0major, Op. 39 No. 9']","[' ~ | Round 2 | ~ Johannes Brahms ~ | Klavierstücke, Op.118 | ~ Intermezzo in A minor / Intermezzo in A major / Ballade in G minor / Intermezzo in F minor / Romance in F major / Intermezzo in E-flat minor ~ | Nikolay Medtner | ~ Three Tales, Op. 42 ~ | Pyotr Tchaikovsky | ~ Méditation, Op. 72 No. 5 ~ | Sergey Prokofiev | ~ Piano Sonata No. 7 B-flat major, Op. 83 ~ | Allegro inquieto / Andante caloroso / Precipitato']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Sergey Prokofiev | ~ Piano Concerto No. 3 in C major, Op.26 ~ | Andante DASH Allegro / Tema con variazioni / Allegro, ma non troppo']"
"<p class=""member-card__name"">Bogdan Dugalić</p>","{'Country': <p class=""member-card__country"">Serbia</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in G minor, BWV 885, from The Well-Tempered Clavier, Book 2 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 7 in D major, Op. 10 No. 3 | ~ Presto / Largo e mesto / Menuetto. Allegro / Rondo. Allegro ~ | Pyotr Tchaikovsky | ~ Dumka, Op. 59 ~ | Frédéric Chopin | ~ Étude in B minor, Op. 25 No. 10 ~ | Franz Liszt | ~ Transcendental Etude No. 8 Wilde Jagd ~ | Sergei Rachmaninoff | ~ Étude-tableau in E-flat minor, Op. 33 No. 6']","[' ~ | Round 2 | ~ Frédéric Chopin ~ | Piano Sonata No. 2 in B-flat minor, Op. 35 | ~ Grave DASH Doppio movimento / Scherzo / Marche funèbre / Presto ~ | Pyotr Tchaikovsky | ~ February (Carnival) from The Seasons, Op. 37-bis ~ | Claude Debussy | ~ Images (Book 1) ~ | Reflets dans lGYATeau / Hommage à Rameau / Mouvement | ~ Sergei Prokofiev ~ | Piano Sonata No. 7 in B-flat major, Op. 83 | ~ Allegro inquieto / Andante caloroso / Precipitato']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Sergei Prokofiev | ~ Piano Concerto No. 2 in G minor, Op. 16 ~ | Andantino DASH Allegretto / Scherzo. Vivace / Intermezzo. Allegro moderato / Finale. Allegro tempestoso']"
"<p class=""member-card__name"">Yelaman Yernur</p>","{'Country': <p class=""member-card__country"">Kazakhstan</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in B-flat minor, BWV 867, from The Well-Tempered Clavier, Book 1 | ~ Joseph Haydn ~ | Piano Sonatа (Partita) in G major, Hob.XVI:6 | ~ Allegro / Menuetto / Adagio / Molto allegro ~ | Pyotr Tchaikovsky | ~ Berceuse, Op. 72 No. 2 ~ | Franz Liszt | ~ Étude dGYATexécution transcendante No. 10 in F minor ~ | Pyotr Tchaikovsky | ~ Chant élégiaque (No. 14) and Un poco di Chopin (No. 15) from 18 Pieces, Op. 72 ~ | Frédéric Chopin | ~ Etude in A minor, Op. 25 No. 4 ~ | Pyotr Tchaikovsky | ~ Scène dansante: Invitation au trépak, Op. 72 No. 18 ~ | Sergei Rachmaninoff | ~ Étude-tableau in D major, Op. 39 No. 9']","[' ~ | Round 2 | ~ Claude Debussy ~ | Prélude No. 8 La fille aux cheveux de linImages (Book 1) | ~ Reflets dans lGYATeau / Hommage à Rameau / MouvementÉtude No. 5 Pour les octaves from Études ~ | Nikolay Medtner | ~ Piano Sonata in F minor, Op.5 ~ | Allegro / Intermezzo. Allegro/ Largo / Finale. Allegro risoluto | ~ Pyotr Tchaikovsky ~ | Dumka, Op. 59']","[' ~ | Round 3 | ~ Sergey Prokofiev ~ | Piano Concerto No. 1 in D-flat major, Op. 10 | ~ Allegro brioso / Andante assai / Allegro scherzando ~ | Pyotr Tchaikovsky | ~ Piano Concerto No. 2 in G major, Op. 44 ~ | Allegro brillante e molto vivace / Andante non troppo / Allegro con fuoco']"
